	Electroshot	Electric	Special	7	5		Charges on the first turn, Restraining the User for 1 round and gives User Sp.Atk Up 2. Attacks on the second turn. Hits on the first turn in Rain.	Foe up to 10 tiles ahead	★★★★★
	Light of Ruin	Fairy	Special	7	5		Deals half the damage dealt back to the User as Recoil.	Foe up to 10 tiles ahead	★★★★★
	Misty Explosion	Fairy	Special	7			User is KO'd after using this Move.	Foes in Room	★★★★★
	Blast Burn	Fire	Special	7	5		User cannot use a Move for 1 round after this Move.	Foe up to 10 tiles ahead	★★★★★
	Eruption	Fire	Special	7	5		Move power reduces by 1 for each 10% of Health missing.	Foes in a 2-tile range.	★★★★★
	Mind Blown	Fire	Special	8	5		Choose a location within 4 tiles. This move deals damage to Foes in a 1-tile range of that location. Deals half the damage dealt back to the User as Recoil.	Special	★★★★★
	Fusion Flare	Fire	Special	5	5	Burned	Move Power increases by 1 if Fusion Flare has been used this turn.	Foe up to 10 tiles ahead	★★★★★
	Blue Flare	Fire	Special	6	5	Burned	Choose a location within 6 tiles. This move deals damage to Foes in a 1-tile range of that location.	Special	★★★★★
	Heat Wave	Fire	Special	4	5	Burned		Foes in Room	★★★★★
	Aeroblast	Flying	Special	5	5		Scores a Critical Hit on a 5-6. Target is pushed 10 tiles away. If they collide with a wall or a Pokemon, they take 1d6 damage.	Foe up to 10 tiles ahead	★★★★★
	Oblivion Wing	Flying	Special	5	5		User heals for half the damage taken by the target.	Foe up to 10 tiles ahead	★★★★★
	Ominous Wind	Ghost	Special	4	5		Roll a d6 after damage has been dealt. On a 6, Atk Up 2, Sp.Atk Up 2, Def Up 2, Sp.Def Up 2, Spe Up 2.	Foes in Room	★★★★★
	Frenzy Plant	Grass	Special	7	5		User cannot use a Move for 1 round after this Move.	Foe up to 10 tiles ahead	★★★★★
	Chloroblast	Grass	Special	7	5		Deals half the damage dealt back to the User as Recoil.	Foe up to 10 tiles ahead	★★★★★
	Blizzard	Ice	Special	4	5	Frozen	Move Power increases by 1 in a Snowstorm.	Foes in Room	★★★★★
	Ice Burn	Ice	Special	7	5	Burned	Charges on the first turn, Restraining the User for 1 round, and gives User Sp. Atk Up 2. Attacks on the second turn.	Foe up to 10 tiles ahead	★★★★★
	Hyper Beam	Normal	Special	7	5		User cannot use a Move for 1 round after this Move.	Foe up to 10 tiles ahead	★★★★★
	Sludge Wave	Poison	Special	4	5	Poisoned		Foes in Room	★★★★★
	Prismatic Laser	Psychic	Special	7	5		User cannot use a Move for 1 round after this Move.	Foe up to 10 tiles ahead	★★★★★
	Photon Geyser	Psychic	Special	5	5		This move inflicts damage using the Attack or Sp. Atk stat—whichever is higher for the user.	Foe up to 10 tiles ahead	★★★★★
	Doom Desire	Steel	Special	7	5		The target takes the damage of this move at the end of their 2nd turn from when this move is used. Cannot score a Critical Hit. Ignores Invulnerability.	Foe up to 10 tiles ahead	★★★★★
	Hydro Cannon	Water	Special	7	5		User cannot use a Move for 1 round after this Move.	Foe up to 10 tiles ahead	★★★★★
	Origin Pulse	Water	Special	6	5	Confused		Foes in a 2-tile range.	★★★★★
	Water Spout	Water	Special	7	5		Move power reduces by 1 for each 10% of Health missing.	Foe up to 10 tiles ahead	★★★★★
